id,name,city,country,continent,region,lon,lat,rank
BLL,Billund,Billund,Denmark,Europe,Northern Europe,9.151667,55.740278,557
JAI,Jaipur International,Jaipur,India,Asia,Southern Asia,75.812222,26.824167,560
GRO,Girona–Costa Brava,Girona,Spain,Europe,Southern Europe,2.760556,41.900833,561
URC,Ürümqi Diwopu International,Ürümqi,China,Asia,Eastern Asia,87.474167,43.907222,564
SZG,Salzburg,Salzburg,Austria,Europe,Central Europe,13.004444,47.793333,565
TRD,"Trondheim Airport, Værnes",Trondheim,Norway,Europe,Northern Europe,10.924167,63.4575,566
TOS,"Tromsø Airport, Langnes",Tromsø,Norway,Europe,Northern Europe,18.918889,69.683333,572
EMA,East Midlands,Nottingham,United Kingdom,Europe,Northern Europe,-1.328056,52.831111,577
GHV,Brașov-Ghimbav International Airport,Brasov,Romania,Europe,Eastern Europe,25.52,45.701667,579
KIS,Kisumu International,Kisumu,Kenya,Africa,Eastern Africa,34.729722,-0.085556,581
YYT,St. John's International,St. John s,Canada,North America,Northern America,-52.751944,47.618611,583
PKR,Pokhara,Pokhara,Nepal,Asia,Southern Asia,83.981389,28.200556,590
GZT,Oğuzeli,Gaziantep,Turkey,Asia,Western Asia,37.478611,36.947222,592
SXR,Srinagar International,Srinagar,India,Asia,Southern Asia,74.774167,33.987222,595
ENU,Akanu Ibiam International,Enugu,Nigeria,Africa,Western Africa,7.561944,6.474167,599
KAN,Mallam Aminu Kano International,Kano,Nigeria,Africa,Western Africa,8.524722,12.0475,602
PSR,Abruzzo,Pescara,Italy,Europe,Southern Europe,14.186667,42.431667,604
ADJ,Amman-Marka International Airport,Amman,Jordan,Asia,Western Asia,35.9916,31.9727,605
IXC,Chandigarh International,Chandigarh,India,Asia,Southern Asia,76.788611,30.673333,607
SDR,Santander,Santander,Spain,Europe,Southern Europe,-3.82,43.426944,613
PVK,Aktion National,Preveza,Greece,Europe,Southern Europe,20.765278,38.925556,614
XRY,Jerez,Jerez de la Frontera,Spain,Europe,Southern Europe,-6.06,36.744722,621
BDQ,Vadodara,Vadodara,India,Asia,Southern Asia,73.226389,22.336111,624
QOW,Sam Mbakwe,Owerri,Nigeria,Africa,Western Africa,7.206111,5.426944,626
IXL,Kushok Bakula Rimpochee,Leh,Unknown Region,Asia,Southern Asia,77.546389,34.135833,630
BIQ,Biarritz Pays Basque,Biarritz,France,Europe,Western Europe,-1.531111,43.468333,632
LCG,A Coruña,A Coruña,Spain,Europe,Southern Europe,-8.377222,43.302222,636
IBA,Ibadan,Ibadan,Nigeria,Africa,Western Africa,3.978333,7.3625,638
NSI,Yaoundé Nsimalen International,Yaoundé,Cameroon,Africa,Central Africa,11.553333,3.7225,639
BRE,Bremen,Bremen,Germany,Europe,Central Europe,8.786667,53.0475,643
NDJ,N Djamena International,N Djamena,Chad,Africa,Central Africa,15.033889,12.133611,644
LFW,Lomé–Tokoin International,Lomé,Togo,Africa,Western Africa,1.254444,6.165556,646
ETM,Ramon Airport,Eilat,Israel,Asia,Western Asia,35.011417,29.723694,649
SID,Amílcar Cabral International,Sal,Cape Verde,Africa,Western Africa,-22.949444,16.741389,655
BHD,George Best Belfast City,Belfast,United Kingdom,Europe,Northern Europe,-5.8725,54.618056,658
NKT,Şırnak,Şırnak,Turkey,Asia,Western Asia,42.061944,37.363611,659
ASB,Ashgabat International,Ashgabat,Turkmenistan,Asia,Central Asia,58.360833,37.986944,660
